Column2,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
107,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO
108,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO, NO, NO
109,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
110,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO
111,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
112,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
113,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
114,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO
115,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
116,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
117,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
118,YES, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO
119,YES, NO,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO
120,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
121,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
122,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
123,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
124,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO
125,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
126,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
127,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
128,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
129,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES,YES, NO
130,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
131, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
132, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
133, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO
134, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
135,YES, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO
136, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
137, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
138,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
139,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
140,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
141,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
142, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
143, NO, NO,YES, NO, NO,YES, NO,YES, NO,YES, NO, NO
144, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
145, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
146,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
147,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO
148,YES, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
149, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
150,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO
151,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
152, NO, NO, NO, NO, NO,YES, NO,YES, NO,YES,YES, NO
153, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
154,YES, NO, NO, NO, NO, NO, NO,YES, NO,YES, NO, NO
155, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
156, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
157, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
158,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
159,YES, NO, NO, NO,YES,YES, NO,YES, NO, NO, NO, NO
160,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
161,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
162,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
1, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
2, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
3,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
4, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
5, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES,YES, NO
6, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
7, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
8,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
9, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
10, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
11,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO
12, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
13, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
14,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
15, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
16,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
17, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
18, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
19, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO
20,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO
21, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
22, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
23, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
24,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
25, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
26, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES,YES, NO
27, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
28, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
29,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
30, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
31, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
32,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO
33, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
34, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
35,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
36, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
37,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
38, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
39, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
40, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO
41,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO
42, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
43, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
44, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
45, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
46, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
47, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO
48, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
49, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO
50, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
51,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
52, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
53, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
54, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
55,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
56, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO
57,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO
58, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
59, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO
60,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
61,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO
62, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO,YES, NO
63,YES, NO,YES, NO, NO, NO,YES, NO, NO, NO,YES, NO
64, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
65,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
66, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
67, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
68, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
69, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
70, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
71, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
72,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
73,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO, NO, NO
74,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO, NO
75, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
76,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO
77, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO
78, NO,YES, NO, NO, NO, NO, NO,YES, NO,YES, NO, NO
79, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
80, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO
81, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
82, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
1, NO,YES, NO, NO, NO, NO, NO, NO, NO,YES, NO, NO
2, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO,YES
3, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
4, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES, NO,YES
5, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
6, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
7, NO, NO,YES, NO,YES, NO, NO, NO,YES,YES, NO, NO
8, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
9, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO, NO
10, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
11, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
12, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO
13, NO, NO, NO, NO,YES, NO, NO, NO,YES,YES, NO, NO
14, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
15, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
16, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
17, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
18, NO, NO, NO, NO,YES, NO, NO, NO,YES,YES, NO,YES
19, NO, NO, NO,YES, NO, NO,YES, NO,YES,YES, NO, NO
20, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO
21, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,YES
22, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
23, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
24, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO
25, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
26, NO, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO,YES
27, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
28, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
29, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
30, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
31, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
32, NO,YES, NO, NO, NO, NO,YES, NO,YES,YES, NO, NO
33, NO,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO
34, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO
35, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
36, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
37, NO,YES,YES, NO,YES, NO, NO, NO, NO, NO,YES, NO
38, NO,YES, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO
39, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
40, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES
41, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
42, NO,YES,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
43, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
44, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
45, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
46, NO, NO,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES
47, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
48, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO
49, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES
50, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES
51, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO
52, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
53, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
54, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO
55, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO, NO, NO
56, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
1, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
2, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES
3, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO
4, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO
5, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
6, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO
7, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
8, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO
9, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
10, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO
11, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO
12, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
13, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
14, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
15,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
16, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
17, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
18, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
19, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
20, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES
21, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
22,YES, NO, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO
23,YES, NO, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES
24,YES, NO, NO, NO,YES, NO, NO, NO, NO, NO, NO, NO
25, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
26, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
27, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
28, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
29, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES
30, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO
31, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO
32, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
33, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO
34, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
35, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO
36, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES
37, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO
38, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES, NO
39, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
40, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
41, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
42,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
43, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES
44, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
45, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
46, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
47, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES
48, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
49,YES, NO, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO
50,YES, NO, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES
51,YES, NO, NO, NO,YES, NO, NO, NO, NO, NO, NO, NO
52, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES
53, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES
54, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
55, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
56, NO, NO, NO, NO,YES, NO,YES, NO, NO,YES, NO,YES
57, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
58, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES
59,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
60, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES
61,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
62,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO
63, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES
64, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO
65, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
66, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
